#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
black	gurraacha
black hole	qaawwa duwwaa
black-and-white	gurraachaafi adii
blank	duwwaa
blank space	iddoo duwwaa
blessed folder	ukaankaa faasirbaa (ukaankaa faayilii sirnaa fe'e barbaacha) 
blessing	faasirbuu
block	 garee
Block	saamsi
block letter	qubee guddaa
block move	 sochii garee 
block operation	dalaga garee
block protection	hayyisa garee 
block size	hammaamtaa garee
Blue	cuquliisa
blurb	matabsaa(mataduree+ibsaa)
body text	ijbarruu 
body type	bocquu barruu
Boilerplate	bartama 
Bold	yabbuu
bold button	qabduu yabbuu
book weight	qubee yabbuu golgola
booklet	kixiqqaa
bookmark	toorbarruu 
boolean	Buuliyaanii
Boolean operator	ogajjii Buuliyaanii
Boolean search	barbaacha Buuliyaanii
boot	kaasuu
boot area	naannoo kaaiinsaa
boot disk	baxxee ka'insaa
boot drive	ooftuu ka'insaa
boot files	faayiloota ka'insaa
boot partition	kutaalee ka'insaa
boot ROM	ka'insa KDQ (kuufannoo dubbisa qofaa)
boot sector	kutaa ka'insaa
boot sequence	tartiiba ka'insaa
boot volume	qabeentaa ka'insaa
boot-up	kaasi
border	handaara
Border	handaaraa
border color	halluu handaaraa
border style	akaataa handaaraa
Bottom	jala
bottom margin	muudana jalaa
bounced message	dhaamsa duubatti deebi'e  
boundary	daangaa
Box	sanduuqa
bps	laklamee sakondiitti (ls)
braces	sadalgoo (sarara dallaa golboo)
brackets	sadallaa (sarara dallaa)
Break	qurxi
Break	qurxiinsa
BREAK key	furtuu QURXIINSAA 
break link	 qunqurxa
breakpoint	sarqurxa
bridge	riqicha
Bright	ifa
brightness	ifiinsa
Bring To Front	duratti fidi
Broadband	baandii bal'aa
broadband connection	walindhaa baandii bal'aa
broadcast message	dhaamsa tamsa 'inaa
Browse	sakattaﾒi
browse mode	haala sakattaa
Browse View	mul'annoo sakattaa
browser	iyyaafataa
Browser Hijacker	butaa iyyaafataa
browsing	iyyaafata
brush style	haalata qulqquleessuu 
B-size paper	waraqaa hanga -B
B-size printer	maxxansa hanga -B
bubble size	hammamtaa hoomachaa
bubble-jet printer	maxxansaa hoomacha  utaalaa
buffer	sanduuqa yerommaa
bug	dogantaa (dogoggora sagantaa)
Build	ijaarsa
build	ijaari
builder	ijaaraa
built-in	waljaartuu
bulk storage	kuusa bal'aa
bullet	rasaasa
bullet character	arfii rasaasaa
bulleted list	tarree rasaasaa
bus	yaa'aa
bus address	teessoo yaa'aa
business	daldala 
busy	jaatanaawaa
button	qabduu
button bar	kabala qabduu
button face	fuula qabduu
button icon	saajoo qabduu 
button image	calaqqee qabduu 
by Date	guyyaan
by default	duraantoon
By Modified	fooyyaﾒaan
by Name	maqaan
by Size	hangaan 
by Status	haalojiin
by Title	matadureen
by Type	akaakun
byte	baayitii
C	C
C:	C:
C++	C++
cache	kuftalee
caddy	YDQ (yaadannoo dubbifannoo qofa)
calculated field	dirree herregame
calculated item	herregamaa
calculator	herregduu
calendar	dhaha
calendar type	akaakuu dhahaa
call	bilbila
call	bilbili
call waiting	eeggatuu bilbilaa
callback	deebwaamichaa (deebii'ee waamichaa)
callout	balballoo
camera	kaameraa
camera-ready copy	jalteenya kaameeraaf qophaaﾒe
cancel	dhiisi
Cancel Message	dhaamsa dhiisi
cap height	hojjaa qubee guddaa
capital letters	qubee guguddaa
capitalization	qubguddaaleessa
capitals	qubee guguddaa
caps	qubguddaa
CAPS LOCK key	furtuu QUGUDDAA
caption	goodayyaa
caret	arfii hoxxee
carriage return	daangaa toorbarruu
carrier	baattuu
carry out an action	waa gochuu
Cartridge	kaartiriijii
Cartridge font	bocquu maxxansaa 
cascaded hubs	wiirtuu tarreeffame
cascading menu	tarree bafataa
cascading windows	fooddaalee tarreeffama
Case	golga kompitaraa
case sensitive	qub-suukanaawaa
cast-based animation	sochii fakkiilee kophaalee
catalog	 galaalee
category	akaakuu
category label	asxaa akaakuu
category name	maqaa akaakuu
cathode ray tube (CRT)	CRT
CC	GG (garagalcha)
Cc box	sanduqa Gg (garagalchaa)
CD	baxxee hurmaayaa (BH)
CD key	furtuu BH (Furtuu Baxxee Hurmaaya)
CD-R	baxxee altokkee(BA)
CD-ROM	BH-KDQ
CD-ROM changer	feetuu BH-KDQ
CD-RW	BH-YHB(yeroo hunda barreessitu)
cell	man'ee
cell address	teessoo man'ee
cell animator	mandhee sochii fakkinaa
cell definition	hiika mandhee
cell pointer	qaree man'ee
cell protection	hayyisa man'ee
cell reference	irkoo man'ee
center	wiirtessi
certificate	ragaa
Certificate of Authenticity	ragaa dhugoominaa
chain printing	maxxansiisa cancalaa
chamfer	rogdabaa
change	jijjiiri
change All	 marjijjir
change icon	sajoo jijjiiri
Channel	karaa
chapter	boqannaa
character	arfii
character font	bocquu arfii
character format	dhangii arfii
character map	kuufannoo arfii
character mode	haalata arfii
character per inch (cpi)	arfinchiin
character set	gurmuu arfii
character spacing	eddeesa arfii
character special file	faayilii addaa arfii
character string	diraa arfii
character style	akkaataa arfii
character-based program	sagantaa arfaawe
chart	taattoo
chart area	bal'ina taattoo 
chart title	mataduree taattoo
chart type	gosa taattoo
chart wizard	gargaartuu taattoo
chat	qaaqa
check	fili
check	mirkaneessi
check box	saanduqa filannoo
check in	bakkatti deebisi
check mark	mallattoo filannoo
check names	mirkaneessi
check out	bakkaa baasi
checkbox	haalojii
checked	filatame
check-in	bakkaatti debisuu
check-out	waraabi
checksum	 ida'a mirkaneessaa
chevron	gophoo
child menu	baafata xinnaa
child object	wanta  xiqqaa
child process	hojii xiqqaa
chip	chiippii
chip set	tuuta chiippii
choose	fili
choose font	bocquu fili
choose style	akkaataa fili
chord	haada
cipher text	barruu icciitii
circle	geengoo
circuit board	gabatee serkiitii
circular reference	hirkoo gamhundaa
citation	eeraa
City	magaalaa
class	ramaddii
classification	ramaddii
clear1	qulqulleessi
clear2	haqi
clear	ifaa
clear a checkbox	saanduqa filannoo haqi
clear all	hunda haqi
clear history	seenaa haqi
click	cuqaasi
click and type	cuqaasii barreessi
click the right mouse button	qabduu hantuttee mirgaa cuqaasi
client	maamila
client application	fayyadama maamilaa
client request	gaafii maamilaa
client/server architecture	ijjeerrii maamilaa/ kaadima 
client/server network	cimdaa maamila/ kaadimaa 
clip	muraa
clip art	muraa faayoo
clipboard	gabatee muraa
clipper	muraa
clock	saﾒaatii 
Clock tick	dhikkisa sa'aatii
clock/calendar board	qabatee sa'aatii/ dhahaa
clone	horaa
close	cufi
close all	 marcufi
close button	qabduu cufii
close find	barbaada cufi 
closing	cufiinsa
cluster	tuuchaa
coaxial cable	haada koo'azi'aalii
code	lakkaddaa
code page	fuula lakkaddaa
codec	xiguu
coded character set	gurmuu arfii lakkaddaaye
cold boot	qabbanaayaa kaasuu
collaboration	gamtoomina
collapse	qoncoorsi
collate	foyyadii
collate copies	jaltenya foyyadii
collating elements	miseensa foyyaddii
collation	foyyadeenya
collection	bu'ata
collision	kiphiinsa
colon	tuqlamee
color	halluu
Color Convergence	makama halluu
color depth	heddumina halluu
Color graphics adapter (CGA)	amanfataa saxaatoo halluu (ASH)
color monitor	torgii halluu
color printer	maxxansaa halluu
color profile	danaa halluu
color scheme	kaaya halluu
color space	idda halluu
Color Temperature	hooﾒina halluu 
colors	halluuwwan
column	tarjaa
column break	muraa tarjaa
column chart	taattoo tarjaa
column heading	matduree tarjaa
column indicator	himtuu tarjaa
column text chart	taattoo barruu tarjaa
column value	gatii tarjaa
column width	bal'na tarjaa
com	dal (daldala)
Com port	buufata dal(buufata daldalaa) 
combination	makaa
combine	maki
combo box	sanduuqa makaa
comma	qoodduu 
comma delimited	qodduun adda baﾒaa
command	ajaja
command button	qabduu ajajaa
command interpreter	hiikaa ajajaa
command key	furtuu ajajaa
command line	xurree ajajaa
command mode	haalata ajajaa
command prompt window	foddaa ajajsaaqii
comment	yaada
comment symbol	mallattoo yaadaa
common files	 faayilii waliinii 
common gateway interface (cgi)	giddugala seensa walquunnamaa(gsw)
communications mode	haalata qunnamtii
communications parameter	ulaaga qunnamtii
communications protocol	aaloo qunnamtii
comp	qixaﾒaa
company	kuubbaaniyaa
compare	waliin madaali
comparison	waliin madaallii
compatible	walta'oo
compile	rogeessa
compiler	kompaayilerii
complete	xumuri
complete	guutuu
complex	xaxaa
component	qaama 
compose	barqii
compose sequence	tartiiba barqii
Composite graphic symbol	mallattoo saxxaato hundaa
compound device	mi'a digalaa
compress	cafaqi
compressed file	faayilii cafaqame
compression	cafaqoo
computation	gimxuu
Computer	kompitara
computer assisted instruction (cai)	ajaja kompitaraan deegarame (akd)
Computer based system	sirna kompitara bu'uureffate
computer dependency	araada kompitaraa
computer system	sirna kompitaraa
concatenation	diraa
concordance file	faayilii walta'iinsa
condense	dhippisuu
condition	haala
conditional	otoola
confidentiality	iccitooma
configuration	qindaayina
configure	qindeessuu
confirm	dhugoomsuu
confirmation	dhugoomsa
confirmation ID	eenyummeessa dhugoomsaa
confirmation message	dhaamsa dhugoomsaa
conflict	waldhaba
Connect	walindhi
Connect to	ﾅitti walindhi
Connect to a server	kaadimaattii qabsiisi
Connection	walindhaa 
connection speed	daddaffina waliindhaa
connection string	diraa waliindhaa 
connectionless protocol	aaloo waliindhamalee
connection-oriented protocol	aaloo hubannoo waliindhaa
connector	kornyoo
console	bugaatoo
constant	seranaa
contact	qunnamtii
contact head	qaanxii tuqii
Contact Us	nu qunnami
content class	kutaa qabiyyee
content developers	oomishtoota qabiyyee
contents	qabeentoota
context	halqara
context switching	haala waljifiinsa sagantaa
context-sensitive	suukana haalqaraa
context-sensitive help	gargaarsa  suukana haalqaraa
Continue	fufuu
continuous	fufaa
continuous paper	waraqaa fufamaa
continuous-tone image	calaqqee halluu fufamaa
continuous-tone printer	maxxansa halluu fufamaa
contrast	addaadoo
control	too'annaa
control character	arfii  tooﾒannaa
control code	lakkaddaa tooﾒannaa
control menu	baafata tooﾒannaa
Control Panel	qaama tooﾒannaa
control unit	kutaa too'annaa
controlling process	hojii tooﾒannaa
controlling terminal	buufata tooﾒannaa
Controls	too'atamtoota
convention	waliigala
conventional	waliigaltee
conversion	jijjiiruu
conversion	jijjiirraa
conversion table	gabatee jijjirraa
convert	jijjiiri
converter	jijjiiraa
cookie	kuukii
coordinate	walgita
coprocessor	waliin dalagduu
copy	jalteessa
Copy	garagalcha
copy fitting	waltaasisa jalteessa
copy protection	hayyisa jalteessaa
Copyright	mirga abbummaa
copyright notice	hubachiisa mirga maxxansaa
copyright symbol	mallattoo mirga maxxansaa
core	killayyaa
Corner	xiyyoo
corona wire	haada koronaa
Corporate	xindoo
Correction	sirreessa
corrupt	faalama
corrupt data	deetaa faalamaa
count	lakkaa'i
count	lakkoofsa
counter	lakkaaﾒaa
country code	lakkadda biyyaa
Country/Region	biyya/naannoo
Courier	koriyeeriii
cover page	duraantoo
CPU (central processing unit)	CPU
cracker	hatuxxee
crash	halakuu
crash consistency	dilbina mirkanessaa
Create	uumi
Create New	haaraa uumi
Create Shortcut	quxxamura uumi
creator	uumaa
credit card	kaardii liqaa
criteria	ulaagaalee
criterion	ulaagaa
critical error	dogoggora cimaa
crop	soofuu
crop mark	mallattoo soofaa
cross	akeektuu
cross platform fonts	bocqubee halmaraa
cross-reference	waabeffannaa
crosstab query	gaafata gamlamee
cryptographic service provider (CSP)	laattuu tajaajila icciteenyaa(LTI)
Cryptography	icciteenya
CSS	CSS
CTRL key	furtuu TOO'ANNAA
cube	kuubii
curly quotes	arfii eerataa
Currency	mahaallaqa
currency symbol	mallattoo mahaallaqa
current	ammee
current date/time	yeroo ammaa
current directory	galeeloo ammee
current folder	ukaankaa ammaa
Current page	fuula kana
current record	kuusaa ammee 
Current View	mulﾒata ammee
Current working directory	galeeloo hojammee
cursor	qaree
cursor keys	furtuu qaree
curve	qonyoo
custom	maamiloo
custom dictionary	 mammiloo jechikaa
custom file type	faayilii akaakuu addaa
custom group	garee maamiloo
custom group field	dirree garee maamiloo
custom installation	ijaarsa maamiloo
custom setup	qindaa'ina maamiloo
Custom show	agaarsiisa maamiloo
customizable	maamilaawaa
Customize	maamileesi
cut	muri
cut-and-paste	murii maxxansi
cut-sheet feeder	nyaacisaa waraqaa
cyan	hallataa
cyberphobia	sodaa saayberii
cyberspace	idda saayiber
Cycle	maroo
cylinder	akmooyyee
daemon	hujdhoo
Daily	guyyaan
daisywheel printer	maxxansaa rugeengoo
damage	miidhi
damage	miidhaa
Dark	dukkana
Dashed	mursaa'aa
data	deetaa
data area	iddoo deetaa
data bus	yaa'a deetaa
data dictionary	galmee deeta
Data encryption	icciteessa deetaa
Data Entry	galiinsa deetaa
data field	dirree deeta
data file	faayilii deetaa
Data Files	faayiloota deetaa
data form	unka deetaa
data interchange format (DIF) file	faayilii dhangii waljijjiirsa deetaa (fdhwd)
data label	moggaasa deetaa
Data Mapping	kuufannoo deetaa
data points	tuqaalee deetaa
data processing	hujeeffama deetaa
data range	hammanga deetaa
data series	walfaannee deetaa
data source	madda deetaa
data stripping	tamsaasa deetaa
data table	gabatee deetaa
data transfer rate	daddafina dabarsa deetaa (ddd)
data type	akaakuu deetaa
data validation	mirkaneessa deetaa
data view	mul'anno deetaa
data view manager	taliigaa mul'annoo deetaa
database	kuusa deetaa
database application	fayyadama kuusaa deetaa
database connection	waliindhaa kuusaa deetaa
database management	taliigaa kuusaa deetaa
database management program	sagantaa taliigaa kuusaa deetaa
database management system (DBMS)	sirna taliigaa kuusaa deetaa(STKD)
database objects	miseensota kuusaa deetaa
database structure	caasaa kuusaa deetaa 
database window	foddaa kuusaa deetaa
datasheet	wardii deetaa
datasheet view	mul'anno wardii deetaa
Date	baa
date format	dhangii baraa
Date separator	gargareessa baraa
date stamping	chaappeessaa baraa
Day	guyyaa
daylight time	 ifa guyyaa 
deactivate	kaka'uumsala
dealer	daldalaa
debug	yaali
debugger	yaalaa
decimal numbers	 lakkurnyee (lakkoofsa kurnyee)
decimal place	bakka kurnyee
decimal separator	gargareessa kurnyee
Decline	diddaa
decoding	lakkaddaa diiguu
decompress	cafaqooli
decompression	cafaqoola
Decrease	hir'isuu
Decrease Indent	deebisa hir'isuu
decrypt	iccitii diigi
decryption	diiga icciitii
dedicated file server	kaadimaa faayilii dhabbataa 
dedicated line	bilbila dhaabbataa
default	durtii
default button	qabduu durtii
default chart	taattoo durtii
default editor	gulaalaa durtii
default extension	fufaa durtii
default font	bocquu durtii
default printer	maxxansaa durtii
default settings	ijaarsa durtii
default value	gatii durtii
Define	qindeessi
Define Views	 mul'annoo qindeessii 
definition	hiika
defragmentation	faffacaasala
Degauss	deggaﾒus
degree symbol	mallattoo digirii (o)
deinstall	diigi
DEL key	furtuu HAQXUU
Delay	turiinsa
delegate	iddomsa
delete	haqi
Delete All	hunda haqi
Delete Item	wayi haqi
Delete Page	fuula haqi
Delete Rows	tardaalee haqi
Delete Shortcut	qaxxaamura haqi
Deleted Items	wantoota haqaman
Delimited	daangeffame
delimiter	daangessaa
delta	deltaa
Demo	daadessa
demote	gadbuusuu
demount	fajachuu
Department	kutaa
dependent worksheet	wardii hirkataa
Depth	liixxaa
descending order	irraa gadi
Description	ibsa
descriptor	addeessaa
deselect	hinfilin
Design	saxaxa
Design	saxaxi
design template	 qajoojii saxaxaa 
Design view	mul'annoo saxaxaa
designer	saxaxxuu
desk accessory (DA)	idaannoo minjaalaa (IM)
desktop	minjaala'aa
desktop computer	kompitara minjaalee
desktop presentation	dhiheessa minjaalarraa
desktop publishing (DTP)	maxxansa  minjaalaa(MM)
desktop publishing program	sagantaa maxxansa minjaalee
desktop video	viidiyoo minjaalee 
destination	ga'umsa
destination file	faayilii ga'umsaa
detail	bal'ina
Details	bal'ina
Detect and repair	argii  suphi
detection	arguu
developer	dagaagsaa
device	mi'a
Device address	teessoo yaa'aa
device contention	koﾒinsa mi'aa
device driver	shoorsaa mi'aa
diacritics	gubjaltoo
Diagonal	shafaaxa
Diagram	safaka
Dial	bilbili
dial tone	sagalee bilbilaa
dial up	 bilaanquu(qunnamtii bibilaa)
Dialer	bilbilaa
dialog	qaaqa
dialog box	sanduuqa qaaqaa
dialog box title	matduree saanduqa qaaqaa
dial-up	bilaanquu
dial-up account	eenyummeessa bilaanquu
dial-up networking	cimdaa'ina bilaanquu
Diamondtron	diﾒamonditroonii
dictation	beedhaga
Dictionary	galmee jechootaa
dictionary sort	fooﾒinsa galmee jechootaa
digit	lakqurxa
Digital	lakqurxaawaa
digital camera	kameeraa lakqurxaawaa
digital computer	kompitara lakqurxaawaa
digital ID	W.E.qurxaawaa 
digital signature	mallattoo lakqurxaawaa
digitally sign	mallattoo lakqurxaaye
digitize	lakqurxxeessi
Dim	golgola
dimension	gara
dimmed command	ajaja golgolaaﾒaa
direction	qixa
direction keys	furtuu qixaa
directory1	galeeloo
directory2	galeeloo ammee
Directory Services	tajaajila galeeloo
directory sorting	fooﾒinsa galeelloo
directory tree	damee galeelloo
disability	dadhabina
disable	dhaamsi
disc	baxxee
discard	gati
disclaimer	waakkii
disconnect	addaan kuti
discussion	marii
discussion board	gabatee marii
discussion comment	qeeqa marii
disk	baxxee
disk capacity	dandeettii baxxee
disk drive	ooftuu baxxee
disk drive	ooftuu baxxee
disk icon	sajoo baxxee
disk space	iddoo baxxee
Dismiss	diddaa
Display	agarsiisi
Display	agarsiisaa
Display as	akk... agarsiisi
Display as icon	akk sajootti agarsiisi
display name	maqaa agarsiisi
Distribute	tamsaasi
Divide	qoodi
division line	sarara qooddii
DLL (Dynamic Link Library)	DLL
dock	hidhi
docked toolbar	kamshaa hidhame
docking station	buufata hidhaa
document	galmee
document formatting	dhangeessa galmee
document icon	sajoo galmee
document image processing	hujeessa calaqqee galmee
Document Library	kuusaa galmee
document map	daxaa (xaxaa dachii) 
document processing	hujeessa galmee
document recovery	baffata galmee
document type definition	hiika akaakuu galmee
document window	foddaa galmee
documentation	galmeessa
Documents and Settings	galmeefi qindaa'ina
dollar sign	mallattoo doolaraa
domain	qayee
DOS prompt	saagii DOS
Dot Pitch	addaan fageenya  tuqaa
dot-matrix printer	maxxansaa dotmaatriksii
dots per inch	tuqaa inchii tokkoon
dotted line	sartuqa
double byte character	arfii  kuuda dachaa
double density	rukkina dachaa
double the size	dachaan guddisi
double underline	jalmura dachaa
double-byte font	bocquu baayitii dachaa
double-click	lama cuqaasi
double-click	lama cuqaasuu
double-sided	garlamee
double-speed drive	ooftuu saffislamee
Doughnut	gurma
Down	balla'aa
Down	gadi
Down Arrow	xiyya gadee
Download	naqadhu
downshifting	gadbuusa qubee
downtime	yeroo balla'inaa
DPA	DPA
DPI setting	qindeessa DPI
draft	wixina
drag	harkisuu
drag and drop	harkisii kaa'i
draw tool	meeshaa fakkasaa
Drawing	fakkasa
drawing canvas	kal'oo fakkasaa
drawing object	wanta fakkasaa
Drive	oofuu
Drive	oofuu
drive icon	sajoo ooftuu
drive letter	qubee ooftuu
Driver	ooftuu
drop	kaayi
drop area	naannoo kaﾒumsaa
drop cap	qubbuusa
drop lines	sarbuusa
drop shadow	gaaddisa dugduubaa
Drop-down	gadbuusa
drop-down arrow	xiyya gadbuusaa
Dropdown Box	saanduqa gadbuusa
drop-down combo box	sanduuqa makaa gadbuusaa
drop-down list	tarree gadbuusaa
drop-down list box	sanduuqa tarree gadbuusaa
drop-down menu	baafata  gadbuusaa
dropout type	akaakuu harcaﾒinsaa
dropouts	harcaﾒinsa
drunk mouse	hantutee mirmirfataa
D-shell connector	kornyoo bifa -D
DTD	DTD
dual-actuator hard disk	baxxee jabaataa BD lamee
Due date	guyyaa xumuraa
dump	gati
duplex printing	maxxansa garlamee
Duplicate	baayyisuu
Duplicate	jalteenya
duplication station	buufata baayyisaa
Duration	turmaata
DVD	DVD
dynamic object	wanta kamaatii
Each other	wal
echo	goowaa
edge connector	kornyoo qaree
Edge lighting	ifa qarree
Edit	gulaali
edit box	sanduuqa gulaallii
Edit Hyperlink	geessituu gulaali
Edit Picture	fakkaattii gulaali
Edit Series	walfaannee gulaali
Edit Text	barruu gulaali
Edit Trust	dhugeeffata gulaali
editor	gulaalaa
Effect	galtee
effective group ID	W.E.gurmuu fulla'aa
effective user ID	W.E. fayyadamaa fulla'aa
electronic data interchange (edi)	waljijjiira deetaa elektiroonikii (wde)
electronic mail	ergata elektiroonikii (ergata-e)
electrostatic printer	maxxansa elektrostaatikii
element	maalimaa
elite	eliitii
ellipsis	cita
em dash	mursaa dheeraa
e-mail	ergaa-e (ergi)
e-mail	ergaa-e (e-e)
e-mail account	eenyummeessa ergaa-e
e-mail address	teesso e-e(teessoo ergaa-e) 
e-mail box	sanduuqa ergaa-e
E-mail Harvester	makara dhaamsa-e (dh-e)
e-mail message	dhaamsa dhaamsa-e
e-mail server	kaadimaa ergaa-e
embed	idaatii
embedded chart	taattoo idaatii
embedded hyperlink	geessituu ida'ame
embedded object	wanta ida'ame
emphasis	xiyyeefannaa
Empty	duwwaa
emulation	akkeesaa
en dash	mursaa gabaabaa
Enable	dandeessisi
enclose	marsi
Encoding	lakkaddeessuu
Encrypt	icciteessi
encryption	icciteessuu
End	xumuri
END key	furtuu XUMURAA
End of File (EOF)	xumura faayilii (XF)
End time	yeroo xumuraa
end user	fayyadamaa maayyii
end user license	hayyama fayyadamaa maayyii
endnote	ibsa dabalataa
End-of-file (EOF)	xumura faayilaa (XF)
Energy Star	urjii humnaa
Enhanced CD	BH guddate (baxxee hurmamaa guddate)
Enhanced Graphics Display	agarsiisa saxaatoo guddate (GSG)
enhanced keyboard	gabatee furtuu ida'ataa
enter	galchi
ENTER key	furtuu GALCHAA
Entire Network	cimdaa waamaraa
entry	galfata
entry bar	kabala seensaa
envelope printer	maxansaa batergaa
Envelopes	batergaalee
environment	qeeyyaa
EPROM	kuufanno dubis qofa sagaanteeffamee kanhaqamuu (KDQSH)
EPS	EPS
Equal Sign	mallattoo qixxee
Equation Editor	gulaalaa qixxaatoo
Equation typesetting	barreessa qixxaatoo
erasable optical disk drive	ooftuu baxxee optikaala haqamaa
Erase	haqi
Ergonomic keyboard	gabatee furtuu  ergonomiksiii
Ergonomics	ergonomiksii
error	dogongora
error bars	kabalaa dogongoraa
error log	dogongora dilba
error message	dhaamsa dogongoraa
ESC key	furtuu DHIISII
escape character	arfii cufiinsaa
escape code	jijjiirraa lakkaddaa 
Evaluate	madaali
evaluation	madaallii
event	mudata
every	kamuu
Exactly	sirrumaan
Example	fakkeenya
Exception	quxaala (qixaa ala)
exclamation point	tuqaa raajefannoo
exclusive	ofiifoo
executable program	sagantaa raawwatamu
execute	raawwadhu
execution	raawwii
exist	jira
existing	jiraataa
Exit	bahi
expand	baldhisi
expand (an outline)	baldhisi
Expand icon	sajoo baldhisi
expand memory board	gabatee kuufanno baldhisi
expand type	akaakuu baldhisi
expansion slot	iddoo baldhinaa
Explain	ibsi
exploded pie graph	caatoo bal'aa                                                                                                                                                                                                                        
explore	alooli
explorer	aloolaa
export	alergii
express installation	ijaarsa hatattamaa
express setup	qindeessa hatattamaa
expression	himannoo
extend	bal'isi
extended character set	gurmuu arfii baay'atee
extended selection	filmaata baay'ate
extension	dheertoo
external	alaantoo
external command	ajaja alaantoo
external data	deetaa alaantoo
external hard disk	baxxee jabaa alaantoo
external reference formula	foormulaa irkoo  alaantoo
Extract	baasuu
face down	gombisi
face up	ol gargalchi
facing pages	fuula durduubaa
failure	dadhabbii
fall back	duubatti hafuu
fall forward	fuulduratii deemuu
Fan	hafarsaa
FAQ	gaafilee yeroo hedduu gaafataman(GYHG)
Fast	saffisaa
fatal error	dogongora cimaa
favorite	jaalatamaa
Fax	faaksii
fax board	gabatee faaksii (elektiriika +xalaya)
fax machine	meeshaa faaksii
fax program	sagantaa faaksii
feature	amala
feedback	dubdeebii
female connector	kornyoo simattuu
field	dirree
field button	qabduu dirree
field code	lakkadda dirree
field definition	hiika dirree
field list	tarree dirree
field name	maqaa dirree
field privilege	mirga dirree 
field template	qajoojii dirree
field value	gatii dirree
FIFO special file	faaylii addaa DSDB (dura seenee dura bahaa)
File	faayilii
File access mode	haalata gahiinsa faayilii
File access permissions	hayyama gahiinsa faayilii
file allocation table (fat)	gabatee ramaddii faayilii (grf)
File and Folder Tasks	dalaga faayiliifi ukaankaa
file and print sharing	qoddannoo faayilaafi maxxansaa
File as	..tti faayileessi
file attribute	amala faayilii
file descriptor	 ibsaa faayilii
file extension	dheertoo faayilii
file format	dhangii faayilii
file fragmentation	ciccita faayilii
File hierarchy	sadarkaa faayilii
file locking	saamsuu faayilii
file management	 taliiga faayilii
File name	maqaa faayilii
file offset	iddooda faayilii
file owner class	garee abbeentaa faayilii
file permission bits	laklamee hayyama faayilii
file pointer	qaree faayilii
file privilege	mirga faayilii
file recovery	baffata faayilii
file serial numbers	tartiiba lakkoofsa faayilii
file server	kaadima faayilii
file sharing	yagutooma faayilii
File size	hammamtaa faayilii
file status flags	alaabaa haalojii faayilii
file system	sirna faayilii
file times update	haaromsa yeroo faayilii
file type	akaakuu faayilii
Filename	maqaa faayilii
Files of type	akaakuu faayileessaa
fill	guuti
Fill color	halluu guuti
Fill Effects	galtee guuti
Filled Ellipse	luulloo guutamte
Filmstrip	qica fiilmii
filter	gingilchaa 
Filter options	filannoo gingilchaa
Find	Barbaadi
Find File	Faayilii barbaadi
Find Next	Itti  aanaa barbaadi
Find Now	Amma barbaadi
Find People	Namoota barbadi
Find Printer	Maxansaa barbaadi
Find what	Maal barbaadu?
Finish	xumuri
Firewall	dallawa cimdaa
First	tokkoffaa
First line indent	galumsa sarara jalqabaa
First Name	maqaa duraa
First page	fuula duraa
Fit	taasisi
Fit text	barruu taassisi
Fit to	..itti taassisi
Fit to Window	foddaatti taassisi
fix	suphi
fixed disk	baxxee dhaabii
fixed numeric format	unka lakkoofsa siranaa
fixed-layout table	gabatee tarree siranaa
fixed-length field	dirree dheerina  siranaa
flag	alaabaa dhaabii
flash	balaqqee
Flat file	faayilii baakkuu
Flat-Screen Color CRT Monitor	torgii CRT halluu argii diriiraa
flat-square monitor	torgii rogarfee diriiraa
Flicker	liphsattuu
Flip Horizontal	dalgata meelchi
Flip Vertical	olgata meelchi
floating	bololi'laa
floating graphic	saxaatoo bololi'aa
floating toolbar	kamshaa bololi'aa
floppy disk	baxxee laafaa
floppy disk controller	too'ataa baxxee laafaa
floppy disk drive	ooftuu baxxee laafaa
Floptical disk	baxxee filoptikii
Floptical drive	ooftuu filoptikii
flow	yaa'insa
flow control	toowannaa yaaﾒinsaa
flowchart	taattoo yaa'aa
flush	walqixxeessuu
flush left	bitaan walqixxeessuu
flush right	mirgaan walqiixxeessuu
flyer	xobbee
focus	xiyyeeffannoo
focus	xiyyeeffadhu
folder	ukaankaa
folder icon	sajoo ukaankaa
Folder List	tarree ukaankaa
Folder Name	maqaa ukaankaa
Follow Up	hordofi
Follow Up	hordoffii
font	bocquu
font box	sanduuqa bocquu
font cartridge	kartiriijii bocquu
font color	haalluu bocquu
font family	maatii bocquu
font metric	guddina bocquu
font name	maqaa bocquu
Font size	hagamtaa bocquu
font size box	sanduuqa hagamtaa bocquu
font smoothing	bocquu boseessuu
font style	haalata bocquu
font substitution	bakkabuﾒinsa bocquu
foot print	ejjata
footer	jalaantoo
footnote	miiljalee
forecasting	hoodimee
Foreground	fulduree
foreground process group	gurmuu hojii fuullataa
foreground process group ID	W.E. gurmuu hojii fuullataa
fork	qoorbii
form	unka
form control	toowattuu unkaa
form feed	soorachiisa unkaa
form field	dirree unkaa
Form name	maqaa unkaa
form properties	amala unkaa
Form view	mul'annoo unkaa
Format	dhangii
Format	dhangi'i
Format bar	kabala dhangii
Format Cells	maadhee dhangii
Formatted text	barruu dhangi'ame
Formatting	dhangeessuu
formatting buttons	qabduu dhangii
Formatting toolbar	kabalmeeshaa dhangii
